Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
5/28/2020,879,8:38,18.89,NoFr01,583,18.5,8.12,0.28,,7.84,42.73
6/5/2020,887,10:39,20.56,NoFr01,585,18.6,8.27,0.28,,8.21,48.22
6/9/2020,891,11:06,27.22,NoFr01,648,19.7,8.37,0.32,,8.06,
6/17/2020,899,8:53,16.67,NoFr01,684,16.4,8.33,0.34,7.74,8.68,
6/23/2020,905,9:08,21.11,NoFr01,681,19.6,8.3,0.33,,7.74,
6/29/2020,911,9:34,20.56,NoFr01,640,20.4,8.42,0.31,6.79,7.68,23.74
7/8/2020,920,9:04,23.89,NoFr01,648,21.9,8.36,0.31,,8.45,27.74
7/29/2020,941,14:13,30,NoFr01,609,26.9,8.48,0.29,3.46,7.51,57.51
8/4/2020,947,10:10,21.67,NoFr01,775,21.9,8.43,0.38,6.88,8.73,70.79
8/12/2020,955,9:49,23.89,NoFr01,823,22.2,8.42,0.4,5.45,9.1,69.19
8/19/2020,962,15:13,26.11,NoFr01,826,24,8.54,0.4,7.91,8.15,70.98
8/26/2020,969,13:08,26.67,NoFr01,835,23.5,8.32,0.41,7.3,7.47,87.41
9/2/2020,976,12:12,24.44,NoFr01,567,22.6,8.32,0.27,65.4,8.27,45.38
9/9/2020,983,14:30,29.44,NoFr01,747,24.8,8.32,0.36,12.9,8.92,61.52
9/16/2020,990,12:17,17.33,NoFr01,855,17.9,8.78,0.42,7.62,9.63,63.95
9/23/2020,997,14:49,23.89,NoFr01,484.5,14.1,8.1,0.24,9.24,6.09,16.13
9/30/2020,1004,14:19,16.67,NoFr01,828,17,8.37,0.41,3.55,8.98,60.67
10/2/2020,1006,14:59,15.56,NoFr01,1234,14.8,8.38,0.62,,11.69,118.71
10/7/2020,1011,14:21,22.78,NoFr01,919,17.7,8.34,0.45,3.69,10.13,74.75
10/14/2020,1019,13:57,18.33,NoFr01,844,16.1,8.34,0.42,3.13,10.53,86.44
10/20/2020,1026,12:25,16.67,NoFr01,727,13.5,7.94,0.36,17.88,8.27,75.05
11/18/2020,1053,12:06,2.78,NoFr01,1037,6.6,8.18,0.51,,13.83,93.23
11/24/2020,1059,11:06,4.44,NoFr01,748.7,4.5,8.16,0.37,,14.03,70.65
12/3/2020,1068,10:58,1.11,NoFr01,844,2,8.17,0.41,,15.74,153.38
2/7/2018,38,18:05,0.56,NoFr02,524,1.8,8.37,0.2,,,
4/9/2018,92,13:36,-0.56,NoFr02,479,5,8.59,0.2,3.8,,
4/20/2018,110,13:45,7.8,NoFr02,438.1,11.1,8.62,0.2,5.33,,
5/21/2018,141,12:54,22.78,NoFr02,525,19.5,8.44,0.3,,,
10/24/2018,297,11:28,8.33,NoFr02,543.5,7.4,8.4,0.26,,13.75,
11/5/2018,309,12:29,,NoFr02,483.3,12,8.3,0.24,,12.6,
12/13/2018,347,10:59,7.22,NoFr02,513.5,3.4,8.47,0.25,,15.78,
12/17/2018,351,11:08,4.44,NoFr02,435.9,6.5,7.87,0.21,,13.94,
